Pos,Bowlers_Name,Mat,Inns,Overs,Runs,Wkts,Bbi,Average,Economy,SR,4w,5w,Bowlers_Team
1,Bhuvneshwar Kumar,17,17,66.0,490,23,Apr-29,21.3,7.42,17.21,1,0,Sunrisers Hyderabad
2,Yuzvendra Chahal,13,13,49.1,401,21,Apr-25,19.09,8.15,14.04,1,0,Royal Challengers Bangalore
3,Shane Watson,16,16,56.3,485,20,Apr-29,24.25,8.58,16.95,1,0,Royal Challengers Bangalore
4,Dhawal Kulkarni,14,14,49.0,364,18,Apr-14,20.22,7.42,16.33,1,0,Gujarat Lions
5,Mustafizur Rahman,16,16,61.0,421,17,Mar-16,24.76,6.9,21.52,0,0,Sunrisers Hyderabad
6,Mitchell McClenaghan,14,14,53.2,436,17,Apr-21,25.64,8.17,18.82,1,0,Mumbai Indians
7,Dwayne Bravo,15,15,56.0,494,17,Apr-22,29.05,8.82,19.76,1,0,Gujarat Lions
8,Sandeep Sharma,14,14,50.0,366,15,02-Nov,24.4,7.32,20.0,0,0,Kings XI Punjab
9,Jasprit Bumrah,14,14,52.0,406,15,Mar-13,27.06,7.8,20.8,0,0,Mumbai Indians
10,Andre Russell,12,12,36.3,291,15,Apr-20,19.4,7.97,14.6,1,0,Kolkata Knight Riders
11,Barinder Sran,14,14,49.3,413,14,Mar-28,29.5,8.34,21.21,0,0,Sunrisers Hyderabad
12,Chris Morris,12,12,44.0,308,13,Feb-30,23.69,7.0,20.3,0,0,Delhi Daredevils
13,Amit Mishra,14,14,46.0,344,13,04-Nov,26.46,7.47,21.23,1,0,Delhi Daredevils
14,Axar Patel,14,14,47.5,388,13,Apr-21,29.84,8.11,22.07,1,0,Kings XI Punjab
15,Mohit Sharma,14,14,48.3,407,13,Mar-23,31.3,8.39,22.38,0,0,Kings XI Punjab
16,Adam Zampa,5,5,17.0,115,12,Jun-19,9.58,6.76,8.5,0,1,Rising Pune Supergiant
17,Moises Henriques,17,17,52.0,415,12,Feb-17,34.58,7.98,26.0,0,0,Sunrisers Hyderabad
18,Sunil Narine,11,11,42.5,304,11,Mar-26,27.63,7.09,23.36,0,0,Kolkata Knight Riders
19,Sreenath Arvind,9,9,29.1,216,11,Feb-18,19.63,7.4,15.9,0,0,Royal Challengers Bangalore
20,Ashok Dinda,9,9,30.3,231,11,Mar-20,21.0,7.57,16.63,0,0,Rising Pune Supergiant
21,Piyush Chawla,12,11,35.2,273,11,Feb-21,24.81,7.72,19.27,0,0,Kolkata Knight Riders
22,Chris Jordan,9,9,28.0,258,11,04-Nov,23.45,9.21,15.27,1,0,Royal Challengers Bangalore
23,Ravichandran Ashwin,14,14,44.0,319,10,Apr-34,31.9,7.25,26.4,1,0,Rising Pune Supergiant
24,Zaheer Khan,12,12,43.4,337,10,Mar-21,33.7,7.71,26.2,0,0,Delhi Daredevils
25,Morne Morkel,10,10,35.3,297,10,Feb-27,29.7,8.36,21.3,0,0,Kolkata Knight Riders
26,Umesh Yadav,9,9,26.0,234,10,Mar-28,23.4,9.0,15.6,0,0,Kolkata Knight Riders
27,Tim Southee,11,11,43.0,329,9,Mar-24,36.55,7.65,28.66,0,0,Mumbai Indians
28,Ashish Nehra,8,8,26.0,199,9,Mar-15,22.11,7.65,17.33,0,0,Sunrisers Hyderabad
29,Praveen Kumar,16,16,51.3,401,9,Feb-19,44.55,7.78,34.33,0,0,Gujarat Lions
30,Harbhajan Singh,14,14,49.0,392,9,Feb-29,43.55,8.0,32.66,0,0,Mumbai Indians
31,Thisara Perera,12,11,33.1,326,9,Mar-34,36.22,9.82,22.11,0,0,Rising Pune Supergiant
32,Ravindra Jadeja,15,14,40.1,311,8,Feb-18,38.87,7.74,30.12,0,0,Gujarat Lions
33,Marcus Stoinis,7,7,23.0,194,8,Apr-15,24.25,8.43,17.25,1,0,Kings XI Punjab
34,Dwayne Smith,12,8,18.0,153,8,04-Aug,19.12,8.5,13.5,1,0,Gujarat Lions
35,Carlos Brathwaite,8,8,23.1,189,7,Mar-47,27.0,8.15,19.85,0,0,Delhi Daredevils
36,Murugan Ashwin,10,10,28.3,241,7,Mar-36,34.42,8.45,24.42,0,0,Rising Pune Supergiant
37,Kane Richardson,4,4,14.0,136,7,Mar-13,19.42,9.71,12.0,0,0,Royal Challengers Bangalore
38,Rajat Bhatia,10,10,34.0,244,6,Feb-19,40.66,7.17,34.0,0,0,Rising Pune Supergiant
39,Krunal Pandya,12,11,31.1,236,6,Feb-15,39.33,7.57,31.16,0,0,Mumbai Indians
40,Kuldeep Yadav,3,3,12.0,100,6,Mar-35,16.66,8.33,12.0,0,0,Kolkata Knight Riders
41,Shivil Kaushik,7,7,23.0,192,6,Mar-20,32.0,8.34,23.0,0,0,Gujarat Lions
42,Iqbal Abdulla,8,8,25.0,213,6,Mar-40,35.5,8.52,25.0,0,0,Royal Challengers Bangalore
