Kagiso Rabada,Bowler,"5,00,00,000"
Patrick Cummins,Bowler,"4,50,00,000"
Angelo Mathews,All-Rounder,"2,00,00,000"
Corey Anderson,All-Rounder,"1,00,00,000"
M. Ashwin,Bowler,"1,00,00,000"
Aditya Tare,Wicket Keeper,"? 25,00,000"
Ankeet Bawane,Batsman,"? 10,00,000"
Navdeep Saini,Bowler,"? 10,00,000"
Shashank Singh,All-Rounder,"? 10,00,000"
Jason Roy,Batsman,"1,00,00,000"
Basil Thampy,Bowler,"? 85,00,000"
Manpreet Gony,Bowler,"? 60,00,000"
Nathu Singh,Bowler,"? 50,00,000"
Munaf Patel,Bowler,"? 30,00,000"
Akshdeep Nath,All-Rounder,"? 10,00,000"
Shubam Agrawal,All-Rounder,"? 10,00,000"
Tejas Singh Baroka,Bowler,"? 10,00,000"
Chirag Suri,Batsman,"? 10,00,000"
Pratham Singh,All-Rounder,"? 10,00,000"
Shelley Shaurya,Bowler,"? 10,00,000"
T Natarajan,Bowler,"3,00,00,000"
Varun Aaron,Bowler,"2,80,00,000"
Eoin Morgan,Batsman,"2,00,00,000"
Matt Henry,Bowler,"? 50,00,000"
Martin Guptill,Batsman,"? 50,00,000"
Darren Sammy,All-Rounder,"? 30,00,000"
Rahul Tewatia,All-Rounder,"? 25,00,000"
Rinku Singh,Batsman,"? 10,00,000"
Trent Boult,Bowler,"5,00,00,000"
Chris Woakes,All-Rounder,"4,20,00,000"
Nathan Coulter-Nile,Bowler,"3,50,00,000"
Rishi Dhawan,All-Rounder,"? 55,00,000"
Darren Bravo,Batsman,"? 50,00,000"
Rovman Powell,All-Rounder,"? 30,00,000"
Sayan Ghosh,Bowler,"? 10,00,000"
R. Sanjay Yadav,All-Rounder,"? 10,00,000"
Ishank Jaggi,Batsman,"? 10,00,000"
Karn Sharma,All-Rounder,"3,20,00,000"
Krishnappa Gowtham,All-Rounder,"2,00,00,000"
Mitchell Johnson,Bowler,"2,00,00,000"
Asela Gunarathna,Batsman,"? 30,00,000"
Saurabh Tiwary,Batsman,"? 30,00,000"
Nicolas Pooran,Wicket Keeper,"? 30,00,000"
Kulwant Khejroliya,Bowler,"? 10,00,000"
Benjamin Stokes,All-Rounder,"14,50,00,000"
Daniel Christian,All-Rounder,"1,00,00,000"
Manoj Tiwary,Batsman,"? 50,00,000"
Lockie Ferguson,Bowler,"? 50,00,000"
Jaydev Unadkat,Bowler,"? 30,00,000"
Rahul Chahar,Bowler,"? 10,00,000"
Saurabh Kumar,Bowler,"? 10,00,000"
Milind Tandon,All-Rounder,"? 10,00,000"
Rahul Ajay Tripathi,All-Rounder,"? 10,00,000"
Tymal Mills,Bowler,"12,00,00,000"
Aniket Choudhary,Bowler,"2,00,00,000"
Pawan Negi,All-Rounder,"1,00,00,000"
Billy Stanlake,Bowler,"? 30,00,000"
Praveen Dubey,All-Rounder,"? 10,00,000"
Rashid Khan Arman,Bowler,"4,00,00,000"
Mohammed Siraj,Bowler,"2,60,00,000"
Eklavya Dwivedi,Wicket Keeper,"? 75,00,000"
Chris Jordan,All-Rounder,"? 50,00,000"
Mohammad Nabi,All-Rounder,"? 30,00,000"
Ben Laughlin,Bowler,"? 30,00,000"
Pravin Tambe,Bowler,"? 10,00,000"
Tanmay Agarwal,Batsman,"? 10,00,000"
